ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,99.99,54.99,24/04/05
1,1,99.99,54.99,24/04/05
2,2,19.99,9.99,24/04/05
3,3,69.99,29.99,24/04/05
4,4,99.99,54.99,24/04/05
5,5,69.99,49.99,24/04/05
6,6,59.99,34.99,24/04/05
7,7,29.99,9.99,24/04/05
8,8,39.99,14.99,24/04/05
9,9,19.99,7.99,24/04/05
10,10,54.99,14.99,24/04/05
11,11,34.99,7.99,24/04/05
12,12,24.99,9.99,24/04/05
13,13,29.99,11.99,24/04/05
14,14,29.99,11.99,24/04/05
16,16,69.99,44.99,24/04/05
17,17,59.99,39.99,24/04/05
18,18,19.99,8.99,24/04/05
19,19,19.99,9.99,24/04/05
20,20,19.99,8.99,24/04/05
21,21,49.99,29.99,24/04/05
22,22,19.99,7.99,24/04/05
23,23,14.99,6.99,24/04/05
24,24,11.99,4.99,24/04/05
25,25,49.99,24.99,24/04/05
26,26,34.99,9.99,24/04/05
27,27,29.99,12.99,24/04/05
28,28,29.99,12.99,24/04/05
29,29,29.99,17.99,24/04/05
30,30,109.99,54.99,24/04/05
31,31,89.99,44.99,24/04/05
34,34,19.99,9.99,24/04/05
35,35,59.99,54.99,24/04/05
36,36,19.99,9.99,24/04/05
37,37,69.99,59.99,24/04/05
38,38,29.99,14.99,24/04/05
40,40,24.99,12.99,24/04/05
41,41,59.99,17.99,24/04/05
42,42,19.99,6.99,24/04/05
43,43,24.99,7.99,24/04/05
44,44,39.99,17.99,24/04/05
45,45,49.99,29.99,24/04/05
46,46,19.99,7.99,24/04/05
47,47,29.99,14.99,24/04/05
48,48,69.99,39.99,24/04/05
49,49,44.99,19.99,24/04/05
50,50,49.99,29.99,24/04/05
51,51,59.99,29.99,24/04/05
52,52,299.99,99.99,24/04/05
53,53,49.99,19.99,24/04/05
54,54,24.99,15.99,24/04/05
55,55,15.99,5.99,24/04/05
56,56,19.99,6.99,24/04/05
57,57,22.99,14.99,24/04/05
58,58,39.99,19.99,24/04/05
59,59,119.99,54.99,24/04/05
60,60,39.99,19.99,24/04/05
61,61,39.99,19.99,24/04/05
64,64,64.99,39.99,24/04/05
66,66,99.99,54.99,24/04/05
67,67,79.99,64.99,24/04/05
68,68,129.99,79.99,24/04/05
73,73,39.99,9.99,24/04/05
74,74,19.99,7.99,24/04/05
76,76,44.99,34.99,24/04/05
77,77,29.99,24.99,24/04/05
78,78,59.99,44.99,24/04/05
79,79,44.99,22.99,24/04/05
80,80,19.99,7.99,24/04/05
82,82,24.99,19.99,24/04/05
83,83,19.99,14.99,24/04/05
84,84,99.99,39.99,24/04/05
85,85,29.99,14.99,24/04/05
86,86,11.99,3.99,24/04/05
87,87,59.99,39.99,24/04/05
88,88,29.99,11.99,24/04/05
89,89,69.99,34.99,24/04/05
90,90,29.99,14.99,24/04/05
91,91,49.99,23.99,24/04/05
92,92,49.99,24.99,24/04/05
94,94,59.99,34.99,24/04/05
96,96,44.99,29.99,24/04/05
97,97,69.99,34.99,24/04/05
98,98,99.99,89.99,24/04/05
99,99,89.99,49.99,24/04/05
100,100,19.99,12.99,24/04/05
101,101,14.99,5.99,24/04/05
103,103,44.99,17.99,24/04/05
105,105,29.99,9.99,24/04/05
106,106,19.99,8.99,24/04/05
107,107,34.99,14.99,24/04/05
108,108,99.99,49.99,24/04/05
109,109,54.99,49.99,24/04/05
110,110,69.99,34.99,24/04/05
111,111,119.99,69.99,24/04/05
112,112,19.99,14.99,24/04/05
113,113,11.99,7.99,24/04/05
114,114,59.99,27.99,24/04/05
115,115,13.99,8.99,24/04/05
116,116,19.99,7.99,24/04/05
117,117,19.99,9.99,24/04/05
118,118,19.99,9.99,24/04/05
119,119,79.99,36.99,24/04/05
121,121,39.99,13.99,24/04/05
122,122,49.99,19.99,24/04/05
123,123,89.99,44.99,24/04/05
126,126,69.99,44.99,24/04/05
127,127,24.99,13.99,24/04/05
128,128,79.99,49.99,24/04/05
129,129,139.99,76.99,24/04/05
130,130,99.99,69.99,24/04/05
132,132,24.99,16.99,24/04/05
134,134,24.99,12.99,24/04/05
136,136,49.99,29.99,24/04/05
137,137,34.99,19.99,24/04/05
138,138,19.99,8.99,24/04/05
139,139,44.99,44.99,24/04/05
140,140,159.99,149.99,24/04/05
141,141,34.99,34.99,24/04/05
142,142,54.99,54.99,24/04/05
144,144,19.99,6.99,24/04/05
145,145,49.99,24.99,24/04/05
146,146,99.99,89.99,24/04/05
147,147,29.99,12.99,24/04/05
148,148,19.99,11.99,24/04/05
149,149,11.99,6.99,24/04/05
151,151,39.99,13.99,24/04/05
152,152,59.99,29.99,24/04/05
153,153,29.99,14.99,24/04/05
154,154,49.99,24.99,24/04/05
155,155,59.99,34.99,24/04/05
156,156,99.99,59.99,24/04/05
158,158,79.99,59.99,24/04/05
159,159,59.99,49.99,24/04/05
160,160,99.99,59.99,24/04/05
161,161,119.99,69.99,24/04/05
162,162,69.99,39.99,24/04/05
165,165,69.99,29.99,24/04/05
166,166,19.99,11.99,24/04/05
167,167,34.99,14.99,24/04/05
168,168,39.99,19.99,24/04/05
169,169,27.99,13.99,24/04/05
170,170,19.99,19.99,24/04/05
171,171,59.99,49.99,24/04/05
172,172,49.99,49.99,24/04/05
173,173,74.99,49.99,24/04/05
174,174,11.99,7.99,24/04/05
175,175,24.99,14.99,24/04/05
176,176,49.99,39.99,24/04/05
177,177,69.99,49.99,24/04/05
178,178,14.99,2.99,24/04/05
179,179,24.99,9.99,24/04/05
180,180,17.99,17.99,24/04/05
181,181,19.99,8.99,24/04/05
182,182,129.99,64.99,24/04/05
183,183,29.99,29.99,24/04/05
184,184,54.99,54.99,24/04/05
185,185,54.99,54.99,24/04/05
186,186,149.99,59.99,24/04/05
187,187,39.99,14.99,24/04/05
189,189,49.99,49.99,24/04/05
190,190,39.99,39.99,24/04/05
191,191,39.99,49.99,24/04/05
192,192,54.99,54.99,24/04/05
193,193,64.99,24.99,24/04/05
194,194,59.99,29.99,24/04/05
195,195,49.99,17.99,24/04/05
197,197,29.99,14.99,24/04/05
198,198,99.99,54.99,24/04/05
199,199,29.99,14.99,24/04/05
200,200,39.99,16.99,24/04/05
201,201,29.99,19.99,24/04/05
202,202,44.99,44.99,24/04/05
203,203,109.99,109.99,24/04/05
204,204,20.99,18.99,24/04/05
205,205,119.99,49.99,24/04/05
208,208,59.99,22.99,24/04/05
209,209,19.99,7.99,24/04/05
210,210,24.99,7.99,24/04/05
211,211,69.99,49.99,24/04/05
212,212,19.99,9.99,24/04/05
213,213,59.99,59.99,24/04/05
214,214,89.99,89.99,24/04/05
215,215,49.99,49.99,24/04/05
216,216,59.99,34.99,24/04/05
217,217,69.99,44.99,24/04/05
218,218,99.99,39.99,24/04/05
219,219,69.99,39.99,24/04/05
220,220,64.99,64.99,24/04/05
221,221,39.99,39.99,24/04/05
222,222,59.99,59.99,24/04/05
223,223,49.99,49.99,24/04/05
224,224,79.99,29.99,24/04/05
226,226,49.99,34.99,24/04/05
227,227,59.99,24.99,24/04/05
228,228,29.99,14.99,24/04/05
229,229,49.99,19.99,24/04/05
230,230,69.99,39.99,24/04/05
231,231,29.99,14.99,24/04/05
232,232,74.99,74.99,24/04/05
233,233,39.99,39.99,24/04/05
234,234,149.99,149.99,24/04/05
235,235,159.99,159.99,24/04/05
236,236,49.99,24.99,24/04/05
237,237,599.99,249.99,24/04/05
238,238,119.99,59.99,24/04/05
241,241,29.99,14.99,24/04/05
242,242,13.99,6.99,24/04/05
243,243,11.99,5.99,24/04/05
244,244,64.99,64.99,24/04/05
245,245,99.99,49.99,24/04/05
