ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,99.99,54.99,24/03/22
1,1,99.99,54.99,24/03/22
2,2,19.99,9.99,24/03/22
3,3,69.99,29.99,24/03/22
4,4,99.99,54.99,24/03/22
5,5,69.99,49.99,24/03/22
6,6,59.99,54.99,24/03/22
7,7,29.99,9.99,24/03/22
8,8,19.99,7.99,24/03/22
9,9,39.99,14.99,24/03/22
10,10,34.99,7.99,24/03/22
12,12,29.99,11.99,24/03/22
13,13,24.99,9.99,24/03/22
14,14,19.99,6.99,24/03/22
16,16,69.99,44.99,24/03/22
17,17,59.99,39.99,24/03/22
18,18,29.99,17.99,24/03/22
19,19,19.99,9.99,24/03/22
20,20,49.99,29.99,24/03/22
21,21,19.99,8.99,24/03/22
22,22,19.99,7.99,24/03/22
23,23,14.99,6.99,24/03/22
24,24,34.99,9.99,24/03/22
25,25,24.99,15.99,24/03/22
26,26,49.99,24.99,24/03/22
27,27,29.99,17.99,24/03/22
28,28,109.99,54.99,24/03/22
29,29,99.99,49.99,24/03/22
30,30,39.99,19.99,24/03/22
31,31,89.99,44.99,24/03/22
32,32,29.99,11.99,24/03/22
35,35,99.99,89.99,24/03/22
36,36,19.99,9.99,24/03/22
37,37,99.99,54.99,24/03/22
40,40,59.99,17.99,24/03/22
41,41,24.99,12.99,24/03/22
43,43,24.99,7.99,24/03/22
44,44,39.99,17.99,24/03/22
45,45,39.99,9.99,24/03/22
46,46,19.99,8.99,24/03/22
47,47,29.99,24.99,24/03/22
48,48,19.99,7.99,24/03/22
49,49,29.99,14.99,24/03/22
50,50,299.99,99.99,24/03/22
51,51,19.99,6.99,24/03/22
52,52,49.99,29.99,24/03/22
53,53,59.99,29.99,24/03/22
55,55,15.99,5.99,24/03/22
56,56,19.99,6.99,24/03/22
57,57,11.99,6.99,24/03/22
58,58,29.99,12.99,24/03/22
59,59,39.99,19.99,24/03/22
60,60,29.99,12.99,24/03/22
61,61,39.99,19.99,24/03/22
62,62,99.99,49.99,24/03/22
63,63,99.99,59.99,24/03/22
65,65,119.99,49.99,24/03/22
66,66,129.99,79.99,24/03/22
67,67,79.99,64.99,24/03/22
68,68,69.99,59.99,24/03/22
69,69,54.99,14.99,24/03/22
72,72,14.99,5.99,24/03/22
74,74,19.99,7.99,24/03/22
75,75,19.99,8.99,24/03/22
76,76,22.99,14.99,24/03/22
77,77,69.99,39.99,24/03/22
78,78,59.99,44.99,24/03/22
79,79,44.99,19.99,24/03/22
80,80,44.99,22.99,24/03/22
81,81,14.99,4.99,24/03/22
82,82,49.99,19.99,24/03/22
83,83,19.99,14.99,24/03/22
84,84,11.99,7.99,24/03/22
86,86,59.99,39.99,24/03/22
87,87,11.99,3.99,24/03/22
89,89,49.99,24.99,24/03/22
90,90,29.99,14.99,24/03/22
91,91,39.99,13.99,24/03/22
92,92,69.99,34.99,24/03/22
93,93,16.99,5.99,24/03/22
95,95,64.99,39.99,24/03/22
96,96,19.99,9.99,24/03/22
97,97,79.99,49.99,24/03/22
98,98,44.99,29.99,24/03/22
99,99,99.99,69.99,24/03/22
100,100,19.99,12.99,24/03/22
101,101,24.99,16.99,24/03/22
102,102,69.99,39.99,24/03/22
104,104,29.99,9.99,24/03/22
105,105,44.99,34.99,24/03/22
106,106,49.99,29.99,24/03/22
107,107,59.99,29.99,24/03/22
108,108,19.99,7.99,24/03/22
109,109,99.99,49.99,24/03/22
110,110,54.99,49.99,24/03/22
111,111,69.99,34.99,24/03/22
112,112,24.99,19.99,24/03/22
113,113,13.99,8.99,24/03/22
114,114,19.99,14.99,24/03/22
115,115,11.99,7.99,24/03/22
116,116,19.99,9.99,24/03/22
117,117,29.99,14.99,24/03/22
118,118,19.99,8.99,24/03/22
119,119,24.99,9.99,24/03/22
120,120,49.99,23.99,24/03/22
121,121,39.99,13.99,24/03/22
122,122,79.99,36.99,24/03/22
123,123,89.99,44.99,24/03/22
124,124,99.99,64.99,24/03/22
125,125,59.99,34.99,24/03/22
126,126,69.99,39.99,24/03/22
127,127,89.99,49.99,24/03/22
128,128,24.99,13.99,24/03/22
129,129,139.99,76.99,24/03/22
130,130,69.99,34.99,24/03/22
131,131,24.99,12.99,24/03/22
134,134,44.99,17.99,24/03/22
136,136,29.99,14.99,24/03/22
137,137,19.99,11.99,24/03/22
138,138,34.99,14.99,24/03/22
139,139,119.99,69.99,24/03/22
140,140,159.99,149.99,24/03/22
141,141,34.99,34.99,24/03/22
142,142,54.99,54.99,24/03/22
143,143,299.99,199.99,24/03/22
144,144,99.99,89.99,24/03/22
145,145,49.99,24.99,24/03/22
146,146,99.99,39.99,24/03/22
147,147,49.99,24.99,24/03/22
148,148,29.99,11.99,24/03/22
149,149,19.99,8.99,24/03/22
150,150,14.99,2.99,24/03/22
152,152,49.99,19.99,24/03/22
153,153,59.99,29.99,24/03/22
154,154,49.99,24.99,24/03/22
155,155,99.99,49.99,24/03/22
157,157,59.99,29.99,24/03/22
158,158,79.99,59.99,24/03/22
159,159,59.99,49.99,24/03/22
160,160,99.99,59.99,24/03/22
161,161,119.99,69.99,24/03/22
166,166,34.99,19.99,24/03/22
167,167,19.99,8.99,24/03/22
169,169,49.99,19.99,24/03/22
171,171,19.99,19.99,24/03/22
172,172,59.99,49.99,24/03/22
173,173,49.99,49.99,24/03/22
175,175,49.99,39.99,24/03/22
177,177,24.99,14.99,24/03/22
178,178,19.99,9.99,24/03/22
179,179,17.99,17.99,24/03/22
180,180,24.99,7.99,24/03/22
182,182,129.99,64.99,24/03/22
183,183,29.99,29.99,24/03/22
184,184,54.99,54.99,24/03/22
185,185,54.99,54.99,24/03/22
187,187,69.99,39.99,24/03/22
188,188,49.99,19.99,24/03/22
189,189,49.99,49.99,24/03/22
190,190,39.99,39.99,24/03/22
191,191,39.99,49.99,24/03/22
192,192,54.99,54.99,24/03/22
193,193,79.99,29.99,24/03/22
194,194,64.99,24.99,24/03/22
196,196,49.99,34.99,24/03/22
197,197,34.99,14.99,24/03/22
198,198,27.99,13.99,24/03/22
199,199,29.99,14.99,24/03/22
200,200,99.99,54.99,24/03/22
201,201,44.99,44.99,24/03/22
202,202,29.99,19.99,24/03/22
203,203,109.99,109.99,24/03/22
204,204,44.99,44.99,24/03/22
208,208,69.99,49.99,24/03/22
209,209,19.99,7.99,24/03/22
210,210,19.99,11.99,24/03/22
211,211,29.99,9.99,24/03/22
212,212,59.99,29.99,24/03/22
213,213,59.99,59.99,24/03/22
214,214,89.99,89.99,24/03/22
215,215,49.99,49.99,24/03/22
216,216,59.99,34.99,24/03/22
218,218,39.99,14.99,24/03/22
220,220,39.99,39.99,24/03/22
221,221,64.99,64.99,24/03/22
222,222,59.99,59.99,24/03/22
223,223,64.99,64.99,24/03/22
224,224,69.99,29.99,24/03/22
225,225,119.99,44.99,24/03/22
228,228,29.99,14.99,24/03/22
229,229,89.99,39.99,24/03/22
230,230,39.99,19.99,24/03/22
231,231,44.99,29.99,24/03/22
232,232,20.99,18.99,24/03/22
233,233,74.99,74.99,24/03/22
234,234,12.99,12.99,24/03/22
235,235,159.99,159.99,24/03/22
236,236,119.99,59.99,24/03/22
237,237,59.99,22.99,24/03/22
238,238,79.99,69.99,24/03/22
239,239,49.99,24.99,24/03/22
240,240,49.99,39.99,24/03/22
241,241,99.99,74.99,24/03/22
242,242,14.99,3.99,24/03/22
243,243,69.99,49.99,24/03/22
244,244,64.99,64.99,24/03/22
