,ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
155,155,155,39.99,19.99,24/04/26
156,156,156,69.99,39.99,24/04/26
157,157,157,149.99,59.99,24/04/26
158,158,158,79.99,59.99,24/04/26
159,159,159,59.99,49.99,24/04/26
160,160,160,99.99,59.99,24/04/26
161,161,161,119.99,69.99,24/04/26
164,164,164,69.99,39.99,24/04/26
167,167,167,34.99,19.99,24/04/26
168,168,168,34.99,14.99,24/04/26
169,169,169,49.99,29.99,24/04/26
170,170,170,34.99,34.99,24/04/26
171,171,171,54.99,54.99,24/04/26
172,172,172,19.99,19.99,24/04/26
173,173,173,74.99,49.99,24/04/26
175,175,175,49.99,39.99,24/04/26
176,176,176,59.99,22.99,24/04/26
177,177,177,49.99,24.99,24/04/26
178,178,178,19.99,12.99,24/04/26
179,179,179,19.99,8.99,24/04/26
180,180,180,89.99,59.99,24/04/26
181,181,181,19.99,11.99,24/04/26
182,182,182,129.99,64.99,24/04/26
183,183,183,29.99,29.99,24/04/26
184,184,184,54.99,54.99,24/04/26
185,185,185,69.99,69.99,24/04/26
186,186,186,59.99,29.99,24/04/26
187,187,187,49.99,19.99,24/04/26
188,188,188,69.99,44.99,24/04/26
189,189,189,69.99,59.99,24/04/26
190,190,190,49.99,49.99,24/04/26
191,191,191,54.99,54.99,24/04/26
192,192,192,49.99,49.99,24/04/26
193,193,193,64.99,24.99,24/04/26
194,194,194,59.99,24.99,24/04/26
195,195,195,59.99,29.99,24/04/26
197,197,197,69.99,39.99,24/04/26
198,198,198,29.99,14.99,24/04/26
199,199,199,19.99,6.99,24/04/26
200,200,200,99.99,54.99,24/04/26
201,201,201,49.99,49.99,24/04/26
202,202,202,59.99,49.99,24/04/26
203,203,203,44.99,44.99,24/04/26
204,204,204,19.99,14.99,24/04/26
208,208,208,69.99,49.99,24/04/26
209,209,209,99.99,59.99,24/04/26
210,210,210,11.99,6.99,24/04/26
211,211,211,19.99,8.99,24/04/26
212,212,212,14.99,2.99,24/04/26
213,213,213,59.99,59.99,24/04/26
214,214,214,74.99,74.99,24/04/26
215,215,215,49.99,49.99,24/04/26
216,216,216,59.99,34.99,24/04/26
218,218,218,99.99,44.99,24/04/26
219,219,219,99.99,59.99,24/04/26
220,220,220,44.99,44.99,24/04/26
221,221,221,49.99,49.99,24/04/26
222,222,222,64.99,64.99,24/04/26
223,223,223,59.99,59.99,24/04/26
224,224,224,69.99,29.99,24/04/26
225,225,225,54.99,28.99,24/04/26
227,227,227,49.99,17.99,24/04/26
228,228,228,44.99,29.99,24/04/26
229,229,229,44.99,34.99,24/04/26
230,230,230,29.99,14.99,24/04/26
232,232,232,17.99,17.99,24/04/26
233,233,233,109.99,109.99,24/04/26
234,234,234,29.99,19.99,24/04/26
235,235,235,20.99,18.99,24/04/26
236,236,236,119.99,79.99,24/04/26
237,237,237,74.99,59.99,24/04/26
238,238,238,599.99,249.99,24/04/26
239,239,239,11.99,7.99,24/04/26
240,240,240,14.99,3.99,24/04/26
241,241,241,19.99,9.99,24/04/26
242,242,242,19.99,9.99,24/04/26
243,243,243,29.99,12.99,24/04/26
244,244,244,99.99,99.99,24/04/26
245,245,245,64.99,64.99,24/04/26
246,246,246,99.99,49.99,24/04/26
