ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,39.99,14.99,24/03/15
1,1,99.99,54.99,24/03/15
2,2,19.99,9.99,24/03/15
3,3,69.99,29.99,24/03/15
4,4,99.99,54.99,24/03/15
5,5,69.99,49.99,24/03/15
6,6,59.99,34.99,24/03/15
7,7,99.99,54.99,24/03/15
8,8,34.99,7.99,24/03/15
9,9,29.99,9.99,24/03/15
10,10,19.99,7.99,24/03/15
12,12,29.99,11.99,24/03/15
13,13,24.99,9.99,24/03/15
14,14,29.99,11.99,24/03/15
16,16,69.99,44.99,24/03/15
17,17,59.99,39.99,24/03/15
18,18,29.99,17.99,24/03/15
19,19,19.99,9.99,24/03/15
20,20,19.99,8.99,24/03/15
21,21,49.99,29.99,24/03/15
22,22,299.99,99.99,24/03/15
23,23,14.99,6.99,24/03/15
24,24,24.99,15.99,24/03/15
25,25,34.99,9.99,24/03/15
26,26,49.99,24.99,24/03/15
27,27,29.99,17.99,24/03/15
28,28,99.99,49.99,24/03/15
29,29,109.99,54.99,24/03/15
30,30,39.99,19.99,24/03/15
31,31,89.99,44.99,24/03/15
33,33,99.99,49.99,24/03/15
34,34,59.99,54.99,24/03/15
35,35,119.99,49.99,24/03/15
36,36,99.99,89.99,24/03/15
37,37,99.99,54.99,24/03/15
40,40,59.99,17.99,24/03/15
41,41,24.99,12.99,24/03/15
42,42,19.99,6.99,24/03/15
43,43,24.99,7.99,24/03/15
44,44,39.99,17.99,24/03/15
45,45,39.99,9.99,24/03/15
46,46,29.99,24.99,24/03/15
47,47,19.99,8.99,24/03/15
48,48,19.99,7.99,24/03/15
49,49,29.99,14.99,24/03/15
50,50,19.99,6.99,24/03/15
51,51,19.99,7.99,24/03/15
52,52,49.99,29.99,24/03/15
53,53,59.99,29.99,24/03/15
54,54,11.99,4.99,24/03/15
55,55,15.99,5.99,24/03/15
56,56,11.99,6.99,24/03/15
57,57,19.99,6.99,24/03/15
58,58,39.99,19.99,24/03/15
59,59,29.99,12.99,24/03/15
60,60,29.99,12.99,24/03/15
61,61,39.99,19.99,24/03/15
63,63,99.99,59.99,24/03/15
64,64,64.99,39.99,24/03/15
65,65,19.99,9.99,24/03/15
66,66,129.99,79.99,24/03/15
67,67,79.99,64.99,24/03/15
68,68,69.99,59.99,24/03/15
69,69,54.99,14.99,24/03/15
72,72,14.99,5.99,24/03/15
74,74,22.99,14.99,24/03/15
75,75,19.99,8.99,24/03/15
76,76,29.99,9.99,24/03/15
77,77,69.99,39.99,24/03/15
78,78,44.99,19.99,24/03/15
79,79,59.99,44.99,24/03/15
80,80,99.99,49.99,24/03/15
81,81,14.99,4.99,24/03/15
82,82,49.99,19.99,24/03/15
83,83,11.99,7.99,24/03/15
84,84,19.99,14.99,24/03/15
85,85,19.99,7.99,24/03/15
86,86,11.99,3.99,24/03/15
88,88,59.99,39.99,24/03/15
89,89,29.99,14.99,24/03/15
90,90,49.99,24.99,24/03/15
91,91,39.99,13.99,24/03/15
92,92,69.99,34.99,24/03/15
96,96,19.99,9.99,24/03/15
97,97,79.99,49.99,24/03/15
98,98,44.99,29.99,24/03/15
99,99,99.99,69.99,24/03/15
100,100,19.99,12.99,24/03/15
101,101,69.99,39.99,24/03/15
102,102,24.99,16.99,24/03/15
103,103,24.99,12.99,24/03/15
104,104,19.99,7.99,24/03/15
105,105,44.99,34.99,24/03/15
106,106,34.99,14.99,24/03/15
107,107,49.99,34.99,24/03/15
108,108,44.99,22.99,24/03/15
109,109,19.99,7.99,24/03/15
110,110,54.99,49.99,24/03/15
111,111,69.99,34.99,24/03/15
112,112,24.99,19.99,24/03/15
113,113,19.99,14.99,24/03/15
114,114,13.99,8.99,24/03/15
116,116,29.99,14.99,24/03/15
117,117,19.99,9.99,24/03/15
118,118,29.99,11.99,24/03/15
119,119,19.99,8.99,24/03/15
120,120,49.99,23.99,24/03/15
121,121,39.99,13.99,24/03/15
122,122,79.99,36.99,24/03/15
123,123,29.99,14.99,24/03/15
124,124,99.99,64.99,24/03/15
125,125,59.99,29.99,24/03/15
126,126,69.99,39.99,24/03/15
127,127,89.99,49.99,24/03/15
128,128,24.99,13.99,24/03/15
129,129,139.99,76.99,24/03/15
130,130,69.99,34.99,24/03/15
136,136,59.99,29.99,24/03/15
137,137,29.99,14.99,24/03/15
138,138,19.99,11.99,24/03/15
139,139,119.99,69.99,24/03/15
140,140,159.99,149.99,24/03/15
141,141,34.99,34.99,24/03/15
142,142,54.99,54.99,24/03/15
143,143,11.99,7.99,24/03/15
145,145,49.99,24.99,24/03/15
146,146,299.99,199.99,24/03/15
147,147,24.99,9.99,24/03/15
148,148,49.99,24.99,24/03/15
149,149,19.99,8.99,24/03/15
150,150,14.99,2.99,24/03/15
151,151,89.99,44.99,24/03/15
152,152,49.99,19.99,24/03/15
153,153,59.99,29.99,24/03/15
154,154,49.99,24.99,24/03/15
156,156,59.99,34.99,24/03/15
157,157,99.99,49.99,24/03/15
158,158,79.99,59.99,24/03/15
159,159,59.99,49.99,24/03/15
160,160,99.99,59.99,24/03/15
161,161,119.99,69.99,24/03/15
162,162,44.99,17.99,24/03/15
163,163,59.99,17.99,24/03/15
166,166,49.99,19.99,24/03/15
167,167,49.99,29.99,24/03/15
168,168,19.99,8.99,24/03/15
169,169,34.99,19.99,24/03/15
170,170,19.99,19.99,24/03/15
171,171,49.99,49.99,24/03/15
172,172,59.99,49.99,24/03/15
173,173,74.99,49.99,24/03/15
174,174,99.99,89.99,24/03/15
175,175,49.99,39.99,24/03/15
176,176,59.99,27.99,24/03/15
177,177,99.99,39.99,24/03/15
178,178,19.99,9.99,24/03/15
179,179,17.99,17.99,24/03/15
180,180,24.99,7.99,24/03/15
182,182,129.99,64.99,24/03/15
183,183,29.99,29.99,24/03/15
184,184,54.99,54.99,24/03/15
185,185,54.99,54.99,24/03/15
186,186,99.99,79.99,24/03/15
187,187,69.99,39.99,24/03/15
188,188,49.99,19.99,24/03/15
189,189,49.99,49.99,24/03/15
190,190,39.99,39.99,24/03/15
191,191,39.99,49.99,24/03/15
192,192,54.99,54.99,24/03/15
194,194,79.99,29.99,24/03/15
195,195,49.99,34.99,24/03/15
196,196,64.99,24.99,24/03/15
197,197,34.99,14.99,24/03/15
198,198,27.99,13.99,24/03/15
199,199,29.99,14.99,24/03/15
200,200,99.99,54.99,24/03/15
201,201,44.99,44.99,24/03/15
202,202,29.99,19.99,24/03/15
203,203,109.99,109.99,24/03/15
204,204,44.99,44.99,24/03/15
205,205,24.99,14.99,24/03/15
206,206,69.99,49.99,24/03/15
209,209,19.99,7.99,24/03/15
210,210,29.99,9.99,24/03/15
211,211,19.99,11.99,24/03/15
212,212,59.99,29.99,24/03/15
213,213,59.99,59.99,24/03/15
214,214,89.99,89.99,24/03/15
215,215,49.99,49.99,24/03/15
216,216,59.99,34.99,24/03/15
218,218,39.99,14.99,24/03/15
220,220,39.99,39.99,24/03/15
221,221,64.99,64.99,24/03/15
222,222,59.99,59.99,24/03/15
223,223,64.99,64.99,24/03/15
224,224,69.99,29.99,24/03/15
225,225,119.99,44.99,24/03/15
228,228,29.99,14.99,24/03/15
229,229,89.99,39.99,24/03/15
230,230,39.99,19.99,24/03/15
231,231,44.99,29.99,24/03/15
232,232,20.99,18.99,24/03/15
233,233,74.99,74.99,24/03/15
234,234,12.99,12.99,24/03/15
235,235,159.99,159.99,24/03/15
236,236,119.99,59.99,24/03/15
237,237,59.99,22.99,24/03/15
238,238,79.99,69.99,24/03/15
