ID,PRODUCT,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
122,MINI CARNIVAL,False,False,False,False,False,True,False,False
123,VELISSIMA,False,False,False,False,False,False,False,False
124,Desliz! Eco Mandarina,True,False,False,False,False,False,False,False
125,ALASKA,False,False,True,True,False,True,False,False
126,Pendientes para pezones con cascabel,False,False,False,False,False,False,False,False
127,PASTORA,False,False,True,True,False,True,False,False
128,PASSION PUMP,True,False,False,False,False,False,False,False
129,OISHi,False,False,False,False,False,False,True,False
131,PULSO WET,False,False,False,True,False,True,False,False
134,SUNNY BABY,True,False,False,False,False,True,False,False
135,Esposas victorianas de amantis,False,False,True,False,False,False,False,False
137,Bolsas de terciopelo para guardar juguetes eróticos,True,True,True,True,False,True,False,False
138,Desliz! Eco Natural,True,False,False,False,False,False,False,False
139,Cómoda mordaza de bola maciza y blanda,False,False,True,False,False,False,True,False
140,JUSTISSE CHOCKER,False,False,True,True,True,False,False,False
141,Desliz! Aceite de masaje erótico de aromas afrodisíacos,True,False,False,False,False,False,False,False
142,GRAN DANESA,False,False,True,True,False,True,False,False
143,SAREA,False,False,False,False,False,False,True,False
144,Manga suave para bombas de vacío,True,False,False,False,False,False,False,False
145,DOBLE PLUG,False,True,False,False,False,True,False,False
146,MAGIC,False,True,False,False,False,True,False,False
147,ATOMIC,True,False,False,True,False,True,False,False
148,AVATAR DONI,False,False,True,True,False,True,False,False
149,BOXER,False,False,True,True,False,True,False,False
150,Medias rejilla con diferentes tamaños de rejilla,False,False,False,False,False,False,True,False
151,Boquillas para bombas de vacío,False,False,False,False,False,False,False,False
153,FLOTT,False,False,False,False,False,False,False,True
155,OHH LA LA,False,False,False,True,False,True,False,False
156,ROCKER G,False,False,False,True,False,True,False,False
157,Esposas de No cuero,False,False,True,False,False,False,False,False
158,Collar con esposas,False,False,True,False,False,False,False,False
159,KINOKO Vibrador masajeador mágico,False,False,False,False,False,True,False,False
160,Collar acolchado con correa “Quiero ser tu perro”,False,False,True,False,False,False,False,False
161,MINI CUP ¡Tu masturbador de bolsillo!,True,False,False,True,False,True,False,False
162,LAMME,False,False,False,True,False,True,False,False
163,Kit de 3 plugs anales realistas,True,True,False,True,False,True,False,False
164,Varilla de caricias eróticas con pluma,False,False,False,False,False,False,False,False
165,Barra de bondage de amantis,False,False,False,False,False,False,True,False
166,CARAMEL,False,True,False,True,False,True,False,False
167,INFINITO,False,False,False,False,False,False,False,False
168,STRISCE,False,False,False,False,False,False,True,False
