ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,99.99,54.99,24/05/31
1,1,99.99,49.99,24/05/31
2,2,49.99,19.99,24/05/31
4,4,69.99,39.99,24/05/31
5,5,69.99,29.99,24/05/31
6,6,59.99,54.99,24/05/31
7,7,19.99,7.99,24/05/31
8,8,44.99,29.99,24/05/31
9,9,44.99,29.99,24/05/31
10,10,54.99,17.99,24/05/31
14,14,34.99,7.99,24/05/31
15,15,39.99,14.99,24/05/31
16,16,69.99,44.99,24/05/31
17,17,29.99,14.99,24/05/31
18,18,19.99,8.99,24/05/31
19,19,19.99,9.99,24/05/31
20,20,59.99,29.99,24/05/31
21,21,49.99,29.99,24/05/31
22,22,24.99,19.99,24/05/31
23,23,29.99,9.99,24/05/31
24,24,24.99,15.99,24/05/31
25,25,14.99,6.99,24/05/31
26,26,11.99,4.99,24/05/31
27,27,29.99,12.99,24/05/31
28,28,29.99,12.99,24/05/31
29,29,109.99,54.99,24/05/31
30,30,99.99,49.99,24/05/31
31,31,69.99,39.99,24/05/31
32,32,49.99,24.99,24/05/31
33,33,64.99,39.99,24/05/31
34,34,119.99,49.99,24/05/31
36,36,59.99,34.99,24/05/31
37,37,99.99,89.99,24/05/31
39,39,19.99,7.99,24/05/31
41,41,24.99,12.99,24/05/31
42,42,29.99,11.99,24/05/31
43,43,24.99,9.99,24/05/31
44,44,19.99,6.99,24/05/31
45,45,29.99,11.99,24/05/31
46,46,44.99,19.99,24/05/31
47,47,69.99,29.99,24/05/31
48,48,59.99,39.99,24/05/31
49,49,29.99,18.99,24/05/31
50,50,19.99,7.99,24/05/31
52,52,14.99,4.99,24/05/31
53,53,99.99,39.99,24/05/31
54,54,34.99,9.99,24/05/31
55,55,49.99,24.99,24/05/31
56,56,59.99,39.99,24/05/31
57,57,19.99,6.99,24/05/31
58,58,39.99,19.99,24/05/31
59,59,29.99,17.99,24/05/31
60,60,119.99,54.99,24/05/31
61,61,59.99,19.99,24/05/31
62,62,109.99,39.99,24/05/31
63,63,59.99,34.99,24/05/31
64,64,99.99,49.99,24/05/31
66,66,69.99,59.99,24/05/31
67,67,79.99,49.99,24/05/31
68,68,44.99,29.99,24/05/31
69,69,24.99,9.99,24/05/31
70,70,29.99,14.99,24/05/31
71,71,59.99,17.99,24/05/31
72,72,19.99,12.99,24/05/31
73,73,39.99,9.99,24/05/31
74,74,39.99,17.99,24/05/31
76,76,24.99,7.99,24/05/31
77,77,99.99,49.99,24/05/31
78,78,54.99,49.99,24/05/31
79,79,19.99,7.99,24/05/31
80,80,29.99,24.99,24/05/31
81,81,49.99,19.99,24/05/31
84,84,19.99,8.99,24/05/31
85,85,15.99,5.99,24/05/31
86,86,19.99,7.99,24/05/31
87,87,22.99,14.99,24/05/31
88,88,59.99,29.99,24/05/31
89,89,49.99,24.99,24/05/31
90,90,49.99,34.99,24/05/31
91,91,29.99,14.99,24/05/31
92,92,39.99,13.99,24/05/31
94,94,19.99,9.99,24/05/31
95,95,89.99,36.99,24/05/31
96,96,99.99,49.99,24/05/31
97,97,89.99,49.99,24/05/31
98,98,129.99,79.99,24/05/31
99,99,79.99,54.99,24/05/31
100,100,44.99,17.99,24/05/31
102,102,99.99,54.99,24/05/31
103,103,59.99,17.99,24/05/31
104,104,49.99,29.99,24/05/31
105,105,59.99,29.99,24/05/31
106,106,19.99,9.99,24/05/31
107,107,19.99,9.99,24/05/31
109,109,44.99,22.99,24/05/31
110,110,69.99,39.99,24/05/31
111,111,59.99,44.99,24/05/31
112,112,119.99,79.99,24/05/31
113,113,19.99,6.99,24/05/31
115,115,19.99,14.99,24/05/31
116,116,29.99,11.99,24/05/31
117,117,12.99,6.99,24/05/31
118,118,39.99,17.99,24/05/31
119,119,99.99,59.99,24/05/31
120,120,49.99,23.99,24/05/31
121,121,39.99,19.99,24/05/31
122,122,79.99,36.99,24/05/31
123,123,49.99,23.99,24/05/31
126,126,99.99,49.99,24/05/31
128,128,19.99,9.99,24/05/31
129,129,24.99,13.99,24/05/31
130,130,139.99,76.99,24/05/31
132,132,14.99,5.99,24/05/31
137,137,19.99,9.99,24/05/31
138,138,19.99,8.99,24/05/31
139,139,44.99,20.99,24/05/31
140,140,69.99,34.99,24/05/31
141,141,119.99,69.99,24/05/31
142,142,159.99,149.99,24/05/31
143,143,11.99,7.99,24/05/31
144,144,11.99,7.99,24/05/31
145,145,99.99,89.99,24/05/31
146,146,13.99,8.99,24/05/31
147,147,24.99,9.99,24/05/31
149,149,99.99,39.99,24/05/31
150,150,19.99,9.99,24/05/31
151,151,69.99,34.99,24/05/31
152,152,59.99,29.99,24/05/31
153,153,29.99,14.99,24/05/31
154,154,39.99,13.99,24/05/31
157,157,16.99,5.99,24/05/31
158,158,79.99,59.99,24/05/31
159,159,119.99,54.99,24/05/31
160,160,59.99,49.99,24/05/31
161,161,99.99,59.99,24/05/31
167,167,27.99,13.99,24/05/31
169,169,29.99,9.99,24/05/31
170,170,34.99,34.99,24/05/31
171,171,54.99,54.99,24/05/31
172,172,74.99,49.99,24/05/31
173,173,19.99,19.99,24/05/31
174,174,19.99,14.99,24/05/31
175,175,19.99,12.99,24/05/31
176,176,19.99,8.99,24/05/31
177,177,19.99,8.99,24/05/31
181,181,89.99,59.99,24/05/31
182,182,89.99,44.99,24/05/31
183,183,129.99,64.99,24/05/31
185,185,29.99,29.99,24/05/31
186,186,69.99,37.99,24/05/31
189,189,69.99,59.99,24/05/31
190,190,119.99,69.99,24/05/31
