ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE
266,266,17.99,12.99
267,267,59.99,29.99
268,268,89.99,44.99
269,269,29.99,14.99
270,270,24.99,9.99
271,271,179.99,64.99
272,272,11.99,7.99
273,273,49.99,29.99
274,274,59.99,29.99
275,275,39.99,19.99
276,276,59.99,44.99
277,277,14.99,5.99
278,278,19.99,7.99
279,279,12.99,9.99
280,280,59.99,34.99
281,281,19.99,7.99
282,282,44.99,23.99
283,283,17.99,6.99
284,284,39.99,19.99
285,285,59.99,24.99
286,286,14.99,4.99
287,287,29.99,14.99
288,288,99.99,39.99
289,289,24.99,9.99
290,290,2.99,0.99
291,291,29.99,19.99
292,292,29.99,12.99
293,293,74.99,37.99
294,294,99.99,59.99
295,295,19.99,7.99
296,296,13.99,8.99
297,297,19.99,7.99
298,298,34.99,14.99
299,299,29.99,14.99
300,300,9.99,4.99
301,301,99.99,84.99
302,302,19.99,9.99
303,303,14.99,7.99
304,304,59.99,39.99
305,305,19.99,8.99
306,306,16.99,7.99
307,307,34.99,8.99
308,308,69.99,39.99
309,309,22.99,12.99
310,310,29.99,10.99
311,311,24.99,9.99
312,312,99.99,49.99
313,313,99.99,54.99
314,314,79.99,34.99
315,315,29.99,9.99
316,316,24.99,7.99
317,317,49.99,24.99
318,318,89.99,39.99
319,319,23.99,14.99
320,320,69.99,49.99
321,321,600.0,349.99
322,322,39.99,24.99
323,323,39.99,29.99
324,324,14.99,7.99
325,325,19.99,8.99
326,326,12.99,9.99
327,327,14.99,8.99
328,328,29.99,12.99
329,329,69.99,29.99
330,330,19.99,7.99
331,331,49.99,24.99
332,332,54.99,26.99
333,333,29.99,14.99
334,334,29.99,14.99
335,335,79.99,49.99
336,336,89.99,49.99
337,337,29.99,19.99
338,338,24.99,13.99
339,339,39.99,13.99
340,340,14.99,5.99
341,341,14.99,5.99
342,342,19.99,7.99
343,343,24.99,14.99
344,344,29.99,14.99
345,345,39.99,19.99
346,346,19.99,6.99
347,347,49.99,29.99
348,348,11.99,3.99
349,349,59.99,26.99
350,350,19.99,6.99
351,351,79.99,14.99
352,352,29.99,8.99
353,353,99.99,44.99
354,354,109.99,44.99
355,355,14.99,5.99
356,356,49.99,19.99
357,357,19.99,11.99
358,358,69.99,34.99
359,359,59.99,34.99
360,360,69.99,29.99
361,361,24.99,11.99
362,362,19.99,8.99
363,363,14.99,8.99
364,364,24.99,9.99
365,365,12.99,4.99
366,366,44.99,27.99
367,367,19.99,14.99
368,368,39.99,24.99
369,369,19.99,7.99
370,370,34.99,16.99
371,371,49.99,24.99
372,372,49.99,17.99
373,373,34.99,19.99
374,374,39.99,14.99
375,375,99.99,49.99
376,376,99.99,34.99
377,377,59.99,19.99
378,378,79.99,29.99
379,379,89.99,64.99
380,380,29.99,5.99
381,381,129.99,79.99
382,382,59.99,34.99
383,383,59.99,29.99
384,384,14.99,9.99
385,385,79.99,29.99
386,386,29.99,19.99
387,387,39.99,29.99
388,388,39.99,14.99
389,389,19.99,9.99
390,390,14.99,7.99
391,391,119.99,59.99
392,392,49.99,19.99
393,393,19.99,19.99
394,394,199.99,120.99
395,395,29.99,17.99
396,396,27.99,7.99
397,397,20.99,5.99
398,398,14.99,3.99
399,399,79.99,34.99
400,400,19.99,9.99
401,401,59.99,29.99
402,402,34.99,18.99
403,403,29.99,15.99
404,404,29.99,12.99
405,405,149.99,109.99
406,406,39.99,14.99
407,407,44.99,24.99
408,408,24.99,11.99
409,409,19.99,14.99
410,410,14.99,5.99
411,411,69.99,49.99
412,412,14.99,7.99
413,413,14.99,10.99
414,414,19.99,9.99
415,415,34.99,14.99
416,416,119.99,69.99
417,417,24.99,12.99
418,418,69.99,34.99
419,419,34.99,16.99
420,420,49.99,21.99
421,421,69.99,29.99
422,422,124.99,49.99
423,423,29.99,4.99
424,424,54.99,24.99
425,425,49.99,24.99
426,426,119.99,79.99
427,427,19.99,6.99
428,428,49.99,39.99
429,429,44.99,34.99
430,430,69.99,49.99
431,431,59.99,39.99
432,432,64.99,44.99
433,433,19.99,5.99
434,434,16.99,6.99
435,435,19.99,8.99
436,436,24.99,7.99
437,437,34.99,23.99
438,438,900.0,349.99
439,439,59.99,34.99
440,440,99.99,44.99
441,441,49.99,34.99
442,442,59.99,32.99
443,443,11.99,5.99
444,444,59.99,29.99
445,445,69.99,49.99
446,446,14.99,5.99
447,447,69.99,34.99
448,448,22.99,8.99
449,449,19.99,5.99
450,450,24.99,15.99
451,451,19.99,9.99
452,452,99.99,59.99
453,453,49.99,19.99
454,454,59.99,29.99
455,455,64.99,39.99
456,456,69.99,29.99
457,457,44.99,19.99
458,458,49.99,29.99
459,459,79.99,39.99
460,460,99.99,44.99
461,461,19.99,9.99
462,462,39.99,19.99
463,463,49.99,34.99
464,464,49.99,39.99
465,465,14.99,5.99
466,466,99.99,79.99
467,467,12.99,5.99
468,468,24.99,14.99
469,469,17.99,5.99
470,470,74.99,39.99
471,471,999.99,299.99
472,472,19.99,7.99
473,473,24.99,13.99
474,474,14.99,13.99
475,475,119.99,69.99
476,476,34.99,14.99
477,477,19.99,7.99
478,478,59.99,32.99
479,479,19.99,8.99
480,480,69.99,39.99
481,481,59.99,34.99
482,482,99.99,49.99
483,483,19.99,9.99
484,484,19.99,3.99
485,485,17.99,8.99
486,486,34.99,17.99
487,487,24.99,5.99
488,488,34.99,19.99
489,489,39.99,17.99
490,490,59.99,39.99
491,491,44.99,24.99
492,492,29.99,14.99
493,493,44.99,29.99
494,494,299.99,119.99
495,495,69.99,49.99
496,496,24.99,14.99
497,497,49.99,24.99
498,498,39.99,14.99
499,499,27.99,13.99
500,500,84.99,34.99
501,501,119.99,59.99
502,502,99.99,54.99
503,503,99.99,49.99
504,504,49.99,29.99
505,505,24.99,9.99
506,506,39.99,27.99
507,507,49.99,34.99
508,508,22.99,11.99
509,509,19.99,9.99
510,510,14.99,7.99
511,511,15.99,8.99
512,512,84.99,24.99
513,513,84.99,29.99
514,514,49.99,24.99
515,515,24.99,8.99
516,516,44.99,24.99
517,517,119.99,54.99
518,518,69.99,39.99
519,519,29.99,12.99
520,520,44.99,19.99
521,521,54.99,44.99
522,522,39.99,29.99
523,523,24.99,14.99
524,524,69.99,29.99
525,525,34.99,13.99
526,526,79.99,39.99
527,527,14.99,5.99
528,528,22.99,10.99
529,529,119.99,64.99
530,530,25.99,11.99
531,531,29.99,12.99
532,532,29.99,14.99
533,533,19.99,9.99
534,534,24.99,14.99
535,535,39.99,14.99
536,536,34.99,19.99
537,537,19.99,8.99
538,538,129.99,49.99
539,539,224.99,99.99
540,540,39.99,14.99
541,541,19.99,11.99
542,542,69.99,39.99
543,543,14.99,1.99
544,544,24.99,14.99
545,545,49.99,34.99
546,546,28.99,12.99
547,547,39.99,19.99
548,548,49.99,24.99
549,549,27.99,12.99
550,550,27.99,13.99
551,551,29.99,11.99
552,552,99.99,44.99
553,553,19.99,8.99
554,554,59.99,19.99
555,555,19.99,9.99
556,556,299.99,129.99
557,557,34.99,19.99
558,558,69.99,19.99
559,559,99.99,59.99
560,560,59.99,34.99
561,561,14.99,1.99
562,562,59.99,34.99
563,563,14.99,5.99
564,564,2.5,2.5
565,565,69.99,34.99
566,566,49.99,39.99
567,567,19.99,9.99
568,568,39.99,24.99
569,569,39.99,16.99
570,570,34.99,19.99
571,571,59.99,49.99
572,572,49.99,29.99
573,573,29.99,18.99
574,574,39.99,19.99
575,575,79.99,27.99
