ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,39.99,14.99,24/05/17
1,1,99.99,54.99,24/05/17
2,2,19.99,9.99,24/05/17
3,3,69.99,29.99,24/05/17
4,4,99.99,54.99,24/05/17
5,5,69.99,49.99,24/05/17
6,6,119.99,49.99,24/05/17
7,7,19.99,7.99,24/05/17
8,8,54.99,17.99,24/05/17
10,10,34.99,7.99,24/05/17
12,12,29.99,11.99,24/05/17
13,13,29.99,11.99,24/05/17
14,14,24.99,9.99,24/05/17
16,16,69.99,44.99,24/05/17
17,17,29.99,14.99,24/05/17
18,18,19.99,8.99,24/05/17
19,19,19.99,9.99,24/05/17
20,20,49.99,29.99,24/05/17
21,21,59.99,29.99,24/05/17
22,22,19.99,7.99,24/05/17
23,23,24.99,15.99,24/05/17
24,24,14.99,6.99,24/05/17
25,25,11.99,4.99,24/05/17
26,26,34.99,9.99,24/05/17
27,27,29.99,12.99,24/05/17
28,28,29.99,12.99,24/05/17
29,29,109.99,54.99,24/05/17
30,30,99.99,49.99,24/05/17
31,31,89.99,36.99,24/05/17
33,33,89.99,39.99,24/05/17
34,34,59.99,54.99,24/05/17
36,36,69.99,59.99,24/05/17
37,37,69.99,34.99,24/05/17
39,39,24.99,9.99,24/05/17
40,40,24.99,12.99,24/05/17
41,41,29.99,14.99,24/05/17
42,42,19.99,6.99,24/05/17
43,43,39.99,17.99,24/05/17
44,44,19.99,7.99,24/05/17
45,45,24.99,7.99,24/05/17
46,46,59.99,39.99,24/05/17
47,47,44.99,19.99,24/05/17
48,48,69.99,39.99,24/05/17
49,49,29.99,24.99,24/05/17
50,50,299.99,99.99,24/05/17
51,51,99.99,39.99,24/05/17
52,52,49.99,29.99,24/05/17
53,53,14.99,4.99,24/05/17
54,54,49.99,24.99,24/05/17
55,55,15.99,5.99,24/05/17
56,56,59.99,39.99,24/05/17
57,57,19.99,6.99,24/05/17
58,58,39.99,19.99,24/05/17
59,59,29.99,17.99,24/05/17
60,60,119.99,54.99,24/05/17
61,61,49.99,24.99,24/05/17
65,65,59.99,34.99,24/05/17
66,66,99.99,89.99,24/05/17
67,67,79.99,49.99,24/05/17
68,68,99.99,49.99,24/05/17
69,69,59.99,17.99,24/05/17
70,70,19.99,12.99,24/05/17
75,75,49.99,29.99,24/05/17
76,76,59.99,29.99,24/05/17
77,77,69.99,29.99,24/05/17
78,78,19.99,7.99,24/05/17
79,79,99.99,49.99,24/05/17
80,80,54.99,49.99,24/05/17
82,82,49.99,19.99,24/05/17
83,83,19.99,8.99,24/05/17
84,84,24.99,14.99,24/05/17
85,85,19.99,7.99,24/05/17
86,86,22.99,14.99,24/05/17
87,87,59.99,29.99,24/05/17
88,88,29.99,11.99,24/05/17
89,89,29.99,14.99,24/05/17
90,90,59.99,19.99,24/05/17
91,91,49.99,23.99,24/05/17
92,92,39.99,19.99,24/05/17
94,94,59.99,34.99,24/05/17
96,96,89.99,49.99,24/05/17
97,97,129.99,79.99,24/05/17
98,98,79.99,54.99,24/05/17
99,99,19.99,9.99,24/05/17
100,100,44.99,17.99,24/05/17
101,101,99.99,54.99,24/05/17
102,102,59.99,17.99,24/05/17
105,105,19.99,9.99,24/05/17
107,107,19.99,8.99,24/05/17
108,108,19.99,7.99,24/05/17
109,109,29.99,18.99,24/05/17
110,110,59.99,44.99,24/05/17
111,111,44.99,20.99,24/05/17
113,113,99.99,89.99,24/05/17
114,114,11.99,7.99,24/05/17
117,117,99.99,59.99,24/05/17
118,118,19.99,12.99,24/05/17
119,119,79.99,36.99,24/05/17
120,120,39.99,13.99,24/05/17
122,122,49.99,23.99,24/05/17
123,123,69.99,34.99,24/05/17
127,127,24.99,13.99,24/05/17
128,128,139.99,76.99,24/05/17
129,129,44.99,29.99,24/05/17
130,130,99.99,69.99,24/05/17
134,134,14.99,5.99,24/05/17
136,136,39.99,17.99,24/05/17
137,137,29.99,9.99,24/05/17
138,138,19.99,9.99,24/05/17
139,139,44.99,22.99,24/05/17
140,140,69.99,34.99,24/05/17
141,141,119.99,69.99,24/05/17
142,142,159.99,149.99,24/05/17
143,143,19.99,14.99,24/05/17
144,144,19.99,6.99,24/05/17
146,146,59.99,22.99,24/05/17
147,147,19.99,11.99,24/05/17
148,148,12.99,7.99,24/05/17
149,149,29.99,14.99,24/05/17
150,150,11.99,3.99,24/05/17
151,151,59.99,29.99,24/05/17
152,152,29.99,14.99,24/05/17
153,153,49.99,24.99,24/05/17
154,154,39.99,13.99,24/05/17
155,155,69.99,37.99,24/05/17
157,157,39.99,19.99,24/05/17
158,158,119.99,54.99,24/05/17
159,159,79.99,59.99,24/05/17
160,160,59.99,49.99,24/05/17
161,161,99.99,59.99,24/05/17
162,162,39.99,9.99,24/05/17
166,166,44.99,29.99,24/05/17
167,167,19.99,11.99,24/05/17
168,168,27.99,13.99,24/05/17
170,170,34.99,34.99,24/05/17
171,171,54.99,54.99,24/05/17
172,172,19.99,19.99,24/05/17
173,173,59.99,49.99,24/05/17
